route_id,route_location,is_this_route_predominantly,select_the_statement_that,objectid,does_litter_obstruct_the,select_the_statement_that_1,how_many_large_abandoned,how_many_instances_of_graffiti,how_many_instances_of_graffiti_1,how_many_instances_of_graffiti_2,select_the_statement_that_2,how_many_instances_of_feces,how_many_abandoned_syringes,how_many_used_or_opened,how_many_dead_animals_are,does_the_route_have_one_or,are_any_trash_receptacles,is_sidewalk_clearance_less,does_the_sidewalk_have_any,does_the_sidewalk_have_any_1,do_you_detect_any_strong,does_the_route_have_one_or_1,creationdate,analysis_neighborhoods,evaluation_period,does_any_graffiti_include,does_any_graffiti_appear,what_types_of_items_are,does_illegal_dumping_obstruct,how_severe_are_the_pavement,are_there_closed_unlabeled,is_the_pile_of_item_s_more,which_of_the_following_issues,how_many_instances_of_broken,if_yes_identify_the_cause,other_dumped_items,if_yes_is_the_odor_from_a,other_sidewalk_obstructions
11229,FUNSTON AVE BETWEEN GEARY BLVD AND ANZA ST,2,2,39,0,2,2,5,7,1,2,2,0,0,0,1,0,1,1,0,0,0,2023-08-19T00:02:17.000,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,17,0,3,0,0,,1,10,,,
5969,CASTRO ST BETWEEN 14TH ST AND HENRY ST,2,2,45,0,2,1,0,3,8,1,6,0,0,0,0,0,0,1,0,0,0,2023-08-21T17:26:26.000,3 - Castro/Upper Market,July 2023 - June 2024,0,0,16,0,2,0,0,,,,,,
9477,MARKET ST BETWEEN 16TH ST AND 17TH ST,1,2,46,0,3,6,19,17,2,2,3,0,0,0,1,0,0,0,0,0,1,2023-08-21T18:08:18.000,3 - Castro/Upper Market,July 2023 - June 2024,0,0,419161715,0,,0,0,5612,1,,,,
5081,40TH AVE BETWEEN QUINTARA ST AND RIVERA ST,2,2,64,0,2,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,2023-08-22T17:10:04.000,12 - Sunset/Parkside,July 2023 - June 2024,0,0,15,0,1,0,0,,,,,,
14841,WAWONA ST BETWEEN 42ND AVE AND 43RD AVE,2,2,68,0,2,1,0,0,6,4,0,0,0,0,0,0,0,1,0,0,0,2023-08-22T18:13:03.000,12 - Sunset/Parkside,July 2023 - June 2024,0,0,19,0,1,0,0,,1,,,,
13701,CLEARFIELD DR BETWEEN MORNINGSIDE DR AND OCEAN AVE,1,2,73,0,2,1,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2023-08-22T20:32:15.000,12 - Sunset/Parkside,July 2023 - June 2024,0,0,0,0,,0,0,,,,shopping cart,,
11464,TARAVAL ST BETWEEN 30TH AVE AND 31ST AVE,1,2,80,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2023-08-22T22:53:40.000,12 - Sunset/Parkside,July 2023 - June 2024,0,0,16,0,2,0,0,,,,,,
339,18TH ST BETWEEN ILLINOIS ST AND 03RD ST,1,2,90,0,2,1,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,2023-08-28T21:31:20.000,"19 - Mission Bay, Potrero Hill",July 2023 - June 2024,0,0,15,0,,0,0,,,2,,,
4639,22ND AVE BETWEEN GEARY BLVD AND ANZA ST,2,2,92,0,2,1,12,22,4,1,0,0,0,0,0,0,0,1,1,0,0,2023-08-29T17:09:19.000,"1 - Outer Richmond, Seacliff",July 2023 - June 2024,0,0,0,0,2,0,0,,,,plastic panels,,
7795,ANZA ST BETWEEN 27TH AVE AND 28TH AVE,2,2,96,0,2,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2023-08-29T18:12:22.000,"1 - Outer Richmond, Seacliff",July 2023 - June 2024,0,0,15,0,,0,0,,1,12,,,
14125,SANSOME ST BETWEEN PACIFIC AVE AND BROADWAY,1,2,108,0,2,1,42,7,2,2,1,0,0,0,1,0,0,1,0,1,0,2023-08-29T19:58:50.000,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,0,0,2,0,0,,1,,Large empty water jug,0,
12754,MISSION ROCK ST BETWEEN 03RD ST AND 04TH ST,1,2,111,0,2,7,0,10,0,2,20,0,0,0,1,0,0,1,0,0,0,2023-08-29T20:24:40.000,"19 - Mission Bay, Potrero Hill",July 2023 - June 2024,0,0,19516,0,2,0,0,,2,,,,
16997,HODGES ALY BETWEEN VALLEJO ST AND END: 1-99 BLOCK,2,2,112,0,2,1,0,5,0,1,0,0,0,0,0,0,1,1,0,0,0,2023-08-29T20:33:32.000,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,19,0,1,0,0,,,313012,,,Planters
15945,VALLEJO ST BETWEEN HODGES ALY AND BARTOL ST,2,2,113,0,2,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2023-08-29T20:38:43.000,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,216,0,,0,0,,1,,,,
5060,38TH AVE BETWEEN CABRILLO ST AND FULTON ST,2,2,125,0,2,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2023-08-29T22:02:49.000,"1 - Outer Richmond, Seacliff",July 2023 - June 2024,0,0,21617,0,,0,0,,,,,,
4679,23RD ST BETWEEN TENNESSEE ST AND INDIANA ST,1,2,151,0,2,5,2,32,15,1,5,0,0,0,1,0,0,1,0,0,0,2023-08-30T19:53:31.000,"19 - Mission Bay, Potrero Hill",July 2023 - June 2024,0,0,4,0,2,0,0,,,,,,
6738,HOLLOWAY AVE BETWEEN JUNIPERO SERRA BLVD AND STRATFORD DR,2,2,157,0,2,2,1,2,10,4,0,0,0,0,0,0,1,1,0,0,0,2023-08-30T20:38:01.000,11 - West of Twin Peaks,July 2023 - June 2024,0,0,417,0,1,0,0,,2,130,,,No parking sign
13348,TOWNSEND ST BETWEEN 03RD ST AND RITCH ST,1,2,169,0,2,1,7,20,0,1,0,0,0,0,1,0,0,0,0,0,0,2023-08-30T22:19:06.000,23 - South of Market,July 2023 - June 2024,0,0,18,0,,0,0,,,,,,
14459,RIZAL ST BETWEEN TANDANG SORA AND LAPU-LAPU ST,1,2,170,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-08-30T22:39:28.000,23 - South of Market,July 2023 - June 2024,0,0,4,0,,0,0,,,,,,
9232,JACKSON ST BETWEEN BRODERICK ST AND BAKER ST,2,2,180,0,3,3,0,4,0,4,1,0,0,0,0,0,0,1,0,0,0,2023-08-31T19:26:34.000,"14 - Japantown, Pacific Heights",July 2023 - June 2024,0,0,160,0,1,0,0,,1,,Empty suitcases,,
10178,JACKSON ST BETWEEN PIERCE ST AND SCOTT ST,2,3,181,0,2,1,0,7,0,2,0,0,0,0,1,1,0,0,0,0,0,2023-08-31T19:45:45.000,"14 - Japantown, Pacific Heights",July 2023 - June 2024,0,0,0,0,,0,0,,1,,Sport net with poorly visible loose leaf paper note that says recology leaning against mailbox,,
15624,WASHINGTON ST BETWEEN FILLMORE ST AND STEINER ST,2,4,184,0,2,3,0,3,0,2,0,0,0,0,1,1,0,1,0,0,0,2023-08-31T20:32:25.000,"14 - Japantown, Pacific Heights",July 2023 - June 2024,0,0,17,0,2,0,0,,1,,Bag of sand by light post,,
11158,SOUTH VAN NESS AVE BETWEEN 13TH ST AND ERIE ST,1,5,193,0,5,2,0,15,0,3,9,0,0,0,0,0,0,1,0,0,0,2023-09-05T21:37:57.000,20 - Mission,July 2023 - June 2024,0,0,17,0,1,0,0,,1,,,,
17060,MCALLISTER ST BETWEEN LAGUNA ST AND BUCHANAN ST,2,2,195,0,2,1,0,5,2,4,2,0,0,0,0,0,0,1,1,0,1,2023-09-06T16:42:42.000,22 - Western Addition,July 2023 - June 2024,0,0,19,0,2,0,0,7,1,,,,
15569,WEBSTER ST BETWEEN EDDY ST AND ELLIS ST,1,2,197,0,3,1,2,9,0,1,3,0,0,0,0,0,0,1,0,0,0,2023-09-06T17:16:52.000,22 - Western Addition,July 2023 - June 2024,0,0,18,0,2,0,0,,,,,,
13765,STEINER ST BETWEEN MCALLISTER ST AND GOLDEN GATE AVE,2,2,203,0,2,1,7,1,0,1,1,0,0,0,1,0,0,1,0,0,0,2023-09-06T18:44:57.000,22 - Western Addition,July 2023 - June 2024,0,0,17,0,2,0,0,,,,,,
9482,STEINER ST BETWEEN FULTON ST AND MCALLISTER ST,2,2,204,0,3,1,2,5,2,1,1,0,0,0,0,0,0,1,1,0,0,2023-09-06T18:56:47.000,22 - Western Addition,July 2023 - June 2024,0,0,16,0,3,0,0,,,,,,
9940,ROSELYN TER BETWEEN TURK BLVD AND GOLDEN GATE AVE,2,2,217,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2023-09-07T17:22:51.000,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,16,0,1,0,0,,1,,,,
13906,WOOD ST BETWEEN GEARY BLVD AND ANZA ST,2,2,219,0,2,1,1,12,7,1,3,0,0,0,0,0,0,0,1,0,0,2023-09-07T17:51:50.000,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,17,0,2,0,0,,,,,,
1947,GEARY BLVD BETWEEN 14TH AVE AND 15TH AVE,1,2,227,0,2,1,2,19,1,1,1,0,0,0,0,0,0,1,0,0,0,2023-09-07T21:54:26.000,"1 - Outer Richmond, Seacliff",July 2023 - June 2024,0,0,19,0,2,0,0,,,,,,
2043,29TH AVE BETWEEN ULLOA ST AND VICENTE ST,2,2,231,0,2,1,0,2,5,1,1,0,0,0,0,0,0,1,0,0,0,2023-09-07T23:28:43.000,12 - Sunset/Parkside,July 2023 - June 2024,0,0,16,0,2,0,0,,,,,,
13582,CLINTON PARK BETWEEN STEVENSON ST AND VALENCIA ST,1,2,237,0,5,3,100,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2023-09-12T21:18:06.000,20 - Mission,July 2023 - June 2024,0,0,216,0,,0,0,,,8129,,,
3475,BANCROFT AVE BETWEEN INGALLS ST AND JENNINGS ST,1,3,242,0,3,3,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2023-09-13T18:19:39.000,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,16,0,,0,0,,3,122,,,
4996,VAN DYKE AVE BETWEEN KEITH ST AND LANE ST,2,3,243,0,3,1,0,1,3,3,3,0,0,0,0,0,0,0,1,0,0,2023-09-13T18:41:34.000,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,16,0,2,0,0,,2,,,,
16143,UNDERWOOD AVE BETWEEN LANE ST AND 03RD ST,2,3,244,0,3,1,5,6,6,4,6,0,0,0,0,0,0,0,0,0,0,2023-09-13T18:53:13.000,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,2,0,,0,0,,1,,,,
10482,MENDELL ST BETWEEN WILLIAMS AVE AND YOSEMITE AVE,1,2,245,0,2,7,2,5,1,1,12,0,0,0,0,0,0,0,0,0,0,2023-09-13T19:06:51.000,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,1716,0,,0,0,,,,,,
13990,SHAFTER AVE BETWEEN KEITH ST AND LANE ST,2,2,249,0,3,1,0,3,2,4,10,0,0,0,0,0,1,1,0,0,0,2023-09-13T21:25:42.000,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,15,0,3,0,0,,1,12,,,
3903,INGALLS ST BETWEEN PALOU AVE AND QUESADA AVE,2,3,250,0,4,4,0,3,12,1,1,0,0,0,0,0,1,1,0,0,0,2023-09-13T21:43:48.000,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,1716,0,2,0,0,,,12,,,
7223,GILLETTE AVE BETWEEN BLANKEN AVE AND NIBBI CT,2,2,252,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2023-09-13T22:50:56.000,6 - Bayview Hunters Point,July 2023 - June 2024,0,0,17,0,2,0,0,,,,,,
4874,BURNETT AVE BETWEEN PARKRIDGE DR AND FENTON LN,2,2,255,0,2,3,2,2,4,1,0,0,0,0,1,0,0,1,0,0,1,2023-09-14T17:19:37.000,"2 - Noe Valley, Glen Park, Twin Peaks",July 2023 - June 2024,0,0,151619,0,2,0,0,1,,,,,
1649,COLE ST BETWEEN CARL ST AND PARNASSUS AVE,1,2,267,0,3,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,2023-09-14T23:11:36.000,"18 - Hayes Valley, Haight Ashbury",July 2023 - June 2024,0,0,515,0,3,0,0,1,,,,,
8710,DWIGHT ST BETWEEN DARTMOUTH ST AND COLBY ST,2,2,269,0,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2023-09-15T16:57:14.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,15,0,,0,0,,,,,,
6019,GIRARD ST BETWEEN WOOLSEY ST AND DWIGHT ST,2,4,274,0,3,1,0,3,3,1,1,0,0,0,0,0,1,1,0,0,0,2023-09-15T18:22:47.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,17,0,2,0,0,,,12,,,
16785,WAYLAND ST BETWEEN GOETTINGEN ST AND SOMERSET ST,2,2,276,0,4,1,0,2,1,1,10,0,0,0,0,0,0,0,0,0,0,2023-09-15T19:08:47.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,15,0,,0,0,,,,,,
6718,HOLYOKE ST BETWEEN FELTON ST AND BURROWS ST,2,3,277,0,3,1,0,0,2,1,4,0,0,0,0,0,0,1,0,0,0,2023-09-15T19:28:19.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,18,0,2,0,0,,,,,,
9592,NAPLES ST BETWEEN SILVER AVE AND PERU AVE,2,2,281,0,4,10,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2023-09-15T21:15:19.000,5 - Excelsior,July 2023 - June 2024,0,0,171615,0,3,0,0,,,,,,
5994,CAPITOL AVE BETWEEN BROAD ST AND FARALLONES ST,2,3,296,0,4,3,1,7,7,2,0,0,0,0,0,0,1,0,0,0,0,2023-09-18T18:45:21.000,"7 - Oceanview/Merced/Ingleside, Lakeshore",July 2023 - June 2024,0,0,161715,0,,0,0,,1,12,,,
10167,PANAMA ST BETWEEN BELLE AVE AND END: 100-199 BLOCK,2,3,307,0,2,1,0,4,0,2,0,0,0,0,0,0,1,1,0,0,0,2023-09-18T20:32:45.000,"7 - Oceanview/Merced/Ingleside, Lakeshore",July 2023 - June 2024,0,0,17,0,2,0,0,,1,121303,,,Sidewalk not continuous and lacks space on Niantic;  not continuous on Panama
12526,MIRAMAR AVE BETWEEN HOLLOWAY AVE AND DE MONTFORT AVE,2,2,308,0,2,3,0,9,12,2,3,0,0,0,0,0,0,0,0,0,0,2023-09-18T20:48:21.000,"7 - Oceanview/Merced/Ingleside, Lakeshore",July 2023 - June 2024,0,0,19160,0,,0,0,,1,,intact squares of glass,,
6747,MISSION ST BETWEEN 15TH ST AND 16TH ST,1,3,326,0,3,2,101,45,5,1,3,0,0,0,1,0,0,1,0,0,1,2023-09-19T19:04:23.000,20 - Mission,July 2023 - June 2024,0,0,1617,0,2,0,0,125,,,,,
4601,20TH ST BETWEEN BRYANT ST AND FLORIDA ST,2,4,330,0,4,1,4,5,1,1,1,0,0,0,0,0,0,0,0,0,0,2023-09-19T21:25:50.000,20 - Mission,July 2023 - June 2024,0,0,17,0,,0,0,,,,,,
12768,MARIPOSA ST BETWEEN UTAH ST AND POTRERO AVE,2,2,332,0,3,1,3,24,13,1,1,0,0,0,0,0,0,0,0,0,0,2023-09-19T21:54:31.000,20 - Mission,July 2023 - June 2024,0,0,2,0,,0,0,,,,,,
9086,LAGUNA ST BETWEEN GEARY BLVD AND POST ST,1,2,337,0,2,2,0,10,1,1,1,0,0,0,0,0,0,0,1,0,0,2023-09-21T16:44:45.000,"14 - Japantown, Pacific Heights",July 2023 - June 2024,0,0,24,0,3,0,0,,,,,,
9895,POLK ST BETWEEN VALLEJO ST AND BONITA ST,1,2,1343,0,2,5,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2023-09-21T18:53:21.000,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,517,0,,0,0,,1,,,,
9283,IVY ST BETWEEN BUCHANAN ST AND WEBSTER ST,2,3,1349,0,3,3,18,24,19,1,0,0,0,0,0,0,0,1,1,0,0,2023-09-21T19:38:38.000,"18 - Hayes Valley, Haight Ashbury",July 2023 - June 2024,0,0,194,0,3,0,0,,,,,,
15015,PINE ST BETWEEN ORBEN PL AND FILLMORE ST,2,3,1353,0,3,1,0,7,2,2,1,0,0,0,0,0,0,1,0,0,0,2023-09-21T20:17:53.000,"14 - Japantown, Pacific Heights",July 2023 - June 2024,0,0,0,0,1,0,0,,1,,Animal skin like deer skin,,
8293,BROADWAY BETWEEN START: 1050-1099 BLOCK AND JONES ST,2,2,1358,0,2,1,8,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2023-09-21T21:03:34.000,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,17,0,2,0,0,,1,,,,
7139,MIRAMAR AVE BETWEEN DE MONTFORT AVE AND OCEAN AVE,1,3,1369,0,4,2,0,4,4,1,1,0,0,0,0,0,0,0,1,0,0,2023-09-25T18:43:31.000,"7 - Oceanview/Merced/Ingleside, Lakeshore",July 2023 - June 2024,0,0,1719,0,1,0,0,,,,,,
6912,MOUNT VERNON AVE BETWEEN LOUISBURG ST AND HOWTH ST,2,2,1377,0,3,2,0,4,1,4,6,0,0,0,0,0,0,1,0,0,0,2023-09-25T19:33:03.000,"7 - Oceanview/Merced/Ingleside, Lakeshore",July 2023 - June 2024,0,0,16,0,1,0,0,,1,,,,
13101,LINCOLN WAY BETWEEN 04TH AVE AND 05TH AVE,2,2,1379,0,2,1,46,15,2,2,0,0,0,0,1,0,0,0,1,0,1,2023-09-25T19:43:54.000,8 - Inner Sunset,July 2023 - June 2024,0,0,0,0,2,0,0,56,1,,Rug,,
13158,LAWTON ST BETWEEN 16TH AVE AND 17TH AVE,2,2,1399,0,2,1,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,2023-09-25T22:04:55.000,8 - Inner Sunset,July 2023 - June 2024,0,0,4,0,1,0,0,,1,,,,
13383,JUDAH ST BETWEEN 16TH AVE AND 17TH AVE,2,2,1404,0,1,3,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,2023-09-25T22:52:25.000,8 - Inner Sunset,July 2023 - June 2024,0,0,217,0,,0,0,,1,,,,
9782,LAMARTINE ST BETWEEN CAYUGA AVE AND STILL ST,2,2,1405,0,2,1,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,2023-09-25T23:00:04.000,4 - Outer Mission,July 2023 - June 2024,0,0,4,0,2,0,0,,,,,,
10170,CHURCH ST BETWEEN 30TH ST AND RANDALL ST,2,2,1408,0,2,6,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2023-09-26T16:55:12.000,"2 - Noe Valley, Glen Park, Twin Peaks",July 2023 - June 2024,0,0,51916,0,3,0,0,,,,,,
15672,WALLER ST BETWEEN DIVISADERO ST AND ALPINE TER,2,2,1418,0,3,1,5,0,1,1,2,0,0,0,0,0,0,1,1,0,0,2023-09-26T19:33:41.000,"18 - Hayes Valley, Haight Ashbury",July 2023 - June 2024,0,0,19,0,2,0,0,,,,,,
9014,LAWRENCE AVE BETWEEN ALEMANY BLVD AND DE WOLF ST,2,2,1442,0,3,4,5,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2023-09-26T22:21:40.000,4 - Outer Mission,July 2023 - June 2024,0,0,41617,0,,0,0,,1,,,,
4703,ALEMANY BLVD BETWEEN LAWRENCE AVE AND DE WOLF ST,2,2,1445,0,2,11,0,37,0,2,0,0,0,0,0,0,0,1,0,0,0,2023-09-26T22:47:05.000,4 - Outer Mission,July 2023 - June 2024,0,0,1625,0,2,0,0,,1,,"Auto bumper, tires, anti freeze bottles",,
15504,WHITTIER ST BETWEEN CRESCIO CT AND BRUNSWICK ST,2,2,1448,0,2,2,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,2023-09-27T16:21:05.000,5 - Excelsior,July 2023 - June 2024,0,0,15,0,,0,0,,,,,,
6384,MISSION ST BETWEEN FAIR AVE AND 29TH ST,1,2,1466,0,5,1,53,67,0,5,0,0,0,0,1,0,0,1,0,0,0,2023-09-28T19:37:29.000,3 - Bernal Heights,July 2023 - June 2024,0,0,15,0,3,0,0,,2,,,,
199,SANCHEZ ST BETWEEN 25TH ST AND CLIPPER ST,2,2,1478,0,2,1,0,4,0,2,0,0,0,0,0,0,0,1,1,0,0,2023-10-02T21:03:20.000,"2 - Noe Valley, Glen Park, Twin Peaks",July 2023 - June 2024,0,0,5,0,2,0,0,,1,,,,
865,ELIZABETH ST BETWEEN NOE ST AND CASTRO ST,2,2,1482,0,2,2,16,14,0,2,0,0,0,0,0,0,0,1,0,0,0,2023-10-02T22:37:25.000,"2 - Noe Valley, Glen Park, Twin Peaks",July 2023 - June 2024,0,0,515,0,2,0,0,,1,,,,
11752,SAWYER ST BETWEEN SUNNYDALE AVE AND SUNRISE WAY,2,3,1487,0,3,2,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,2023-10-03T15:15:09.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,1716,0,2,0,0,,,12,,,
14061,SCHWERIN ST BETWEEN GARRISON AVE AND KELLOCH AVE,1,4,1488,0,4,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2023-10-03T15:27:29.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,1716,0,,0,0,,,,,,
1563,SUNNYDALE AVE BETWEEN CORA ST AND DELTA ST,2,2,1489,0,2,1,0,1,1,4,2,0,0,0,0,0,0,1,0,0,0,2023-10-03T15:37:10.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,19,0,2,0,0,,1,,,,
11103,SUNNYDALE AVE BETWEEN RUTLAND ST AND CORA ST,2,2,1490,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,2023-10-03T15:45:44.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,19,0,2,0,0,5,,,,,
12036,PEABODY ST BETWEEN LELAND AVE AND VISITACION AVE,2,2,1492,0,2,4,0,2,0,1,4,0,0,0,1,0,0,1,1,0,0,2023-10-03T16:10:23.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,17,0,2,0,0,,,,,,
13470,ARLETA AVE BETWEEN BAY SHORE BLVD AND ALPHA ST,2,2,1493,0,2,1,0,3,3,2,0,0,0,0,0,0,0,1,0,0,0,2023-10-03T16:26:42.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,16,0,2,0,0,,1,,,,
6087,CAMPBELL AVE BETWEEN BRUSSELS ST AND GOETTINGEN ST,2,2,1494,0,3,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2023-10-03T16:52:03.000,"10 - Portola, Visitacion Valley",July 2023 - June 2024,0,0,19,0,,0,0,,,,,,
5371,ADA CT BETWEEN O'FARRELL ST AND AMITY ALY,1,2,1498,0,2,6,101,101,8,2,0,0,0,0,0,0,0,0,0,0,0,2023-10-03T17:27:27.000,9 - Tenderloin,July 2023 - June 2024,0,0,1617,0,,0,0,,1,,,,
8172,OFARRELL ST BETWEEN TAYLOR ST AND JONES ST,1,4,1501,0,2,2,101,49,27,3,0,0,0,0,0,0,1,1,0,0,1,2023-10-03T18:01:48.000,9 - Tenderloin,July 2023 - June 2024,0,0,1617,0,2,0,0,69,1,0,,,Homeless people
9048,TAYLOR ST BETWEEN EDDY ST AND ELLIS ST,1,3,1503,0,3,8,101,32,11,2,0,0,0,0,0,0,0,0,0,0,0,2023-10-03T18:19:14.000,9 - Tenderloin,July 2023 - June 2024,0,0,516,0,,0,0,,1,,,,
3461,BANKS ST BETWEEN POWHATTAN AVE AND EUGENIA AVE,2,2,1509,0,2,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2023-10-03T19:40:55.000,3 - Bernal Heights,July 2023 - June 2024,0,0,16,0,2,0,0,,,1310,,,
